Time	Mean	Median	Upper	Lower
2019.5	426.0	426.0	426.0	426.0
2018.3737251832633	425.03368104849494	425.0	426.0	423.0
2017.2474503665267	417.87745612410754	418.0	423.0	411.0
2016.12117554979	400.57973787626275	401.0	413.0	387.0
2014.9949007330533	372.86957595210174	373.0	392.0	352.0
2013.8686259163167	349.3508219657223	349.0	370.0	328.0
2012.74235109958	327.9935394934469	328.0	352.0	303.0
2011.6160762828433	298.2386272452318	299.0	332.0	257.0
2010.4898014661067	261.7041540645639	263.0	310.0	207.0
2009.36352664937	212.43507602411373	210.0	275.0	163.0
2008.2372518326333	174.659732938296	171.0	231.0	138.0
2007.1109770158967	147.79811945764664	145.0	187.0	123.0
2005.98470219916	127.91879102113039	127.0	151.0	111.0
2004.8584273824233	112.55366952657243	112.0	131.0	99.0
2003.7321525656866	94.20601608954179	94.0	111.0	81.0
2002.60587774895	76.6211344978705	76.0	91.0	64.0
2001.4796029322133	61.17305516120404	61.0	74.0	50.0
2000.3533281154766	50.681315968150116	50.0	62.0	41.0
1999.22705329874	44.45725572495525	44.0	54.0	37.0
1998.1007784820033	40.18574985083225	40.0	48.0	33.0
1996.9745036652666	37.029051704627285	37.0	44.0	31.0
1995.84822884853	34.57403863959015	34.0	41.0	29.0
1994.7219540317933	32.572907022200276	32.0	39.0	27.0
1993.5956792150566	30.89025368804395	31.0	37.0	26.0
1992.46940439832	29.47587597473407	29.0	35.0	24.0
1991.3431295815833	28.252618151142933	28.0	34.0	23.0
1990.2168547648466	27.178178301750922	27.0	33.0	23.0
1989.09057994811	26.23105569615044	26.0	32.0	22.0
1987.9643051313733	25.37224039668333	25.0	31.0	21.0
1986.8380303146366	24.293726724687776	24.0	29.0	20.0
1985.7117554979	23.20126329650433	23.0	28.0	19.0
1984.5854806811633	22.23414192539555	22.0	27.0	18.0
1983.4592058644266	21.121782606011976	21.0	26.0	16.0
1982.33293104769	20.03880418904183	20.0	25.0	15.0
1981.2066562309533	18.87118079130918	19.0	24.0	14.0
1980.0803814142166	17.49542209328642	17.0	23.0	12.0
1978.95410659748	16.205645742032385	16.0	22.0	11.0
1977.8278317807433	15.008106495483817	15.0	21.0	10.0
1976.7015569640066	13.933563771783636	14.0	20.0	9.0
1975.57528214727	12.967697467234533	13.0	19.0	9.0
1974.4490073305333	12.10085797173014	12.0	18.0	8.0
1973.3227325137966	11.350780815999013	11.0	17.0	8.0
1972.19645769706	10.689216715017592	10.0	16.0	7.0
1971.0701828803233	10.115507273213588	10.0	15.0	7.0
1969.9439080635866	9.56648766537045	9.0	15.0	6.0
1968.81763324685	9.024648684237599	9.0	14.0	6.0
1967.6913584301133	8.492397588626217	9.0	13.0	5.0
1966.5650836133766	7.969014258379112	8.0	12.0	4.0
1965.43880879664	7.449499002119211	8.0	11.0	3.0
1964.3125339799033	6.944056951217003	7.0	11.0	3.0
1963.1862591631666	6.451186140773204	6.0	10.0	3.0
1962.05998434643	5.978499269592412	6.0	10.0	3.0
1960.9337095296933	5.529473489290784	5.0	9.0	2.0
1959.8074347129566	5.115959920169537	5.0	9.0	2.0
1958.68115989622	4.731786103738452	4.0	9.0	2.0
1957.5548850794833	4.385552332160566	4.0	8.0	2.0
1956.4286102627466	4.072917309631093	4.0	8.0	2.0
1955.30233544601	3.7915355019237498	3.0	8.0	2.0
1954.1760606292733	3.5383618295166963	3.0	7.0	2.0
1953.0497858125366	3.318354834063741	3.0	7.0	2.0
1951.9235109958	3.128181387980166	3.0	6.0	2.0
1950.7972361790632	2.9645083636812544	3.0	6.0	2.0
1949.6709613623266	2.824270106783532	3.0	6.0	2.0
1948.54468654559	2.704874184721108	3.0	5.0	2.0
1947.4184117288532	2.601218031808736	2.0	5.0	2.0
1946.2921369121166	2.507869884575026	2.0	5.0	2.0
1945.16586209538	2.4307964528938544	2.0	4.0	2.0
1944.0395872786432	2.364339649815855	2.0	4.0	2.0
1942.9133124619066	2.3104952369195315	2.0	4.0	2.0
1941.78703764517	2.2633582289159104	2.0	4.0	2.0
1940.6607628284332	2.2222702302327018	2.0	3.0	2.0
1939.5344880116966	2.186058473756764	2.0	3.0	2.0
1938.40821319496	2.1565335473118945	2.0	3.0	2.0
1937.2819383782232	2.1323786597535133	2.0	3.0	2.0
1936.1556635614866	2.1100137851572947	2.0	3.0	2.0
1935.02938874475	2.0919490566425942	2.0	3.0	2.0
1933.9031139280132	2.0771763059893424	2.0	3.0	2.0
1932.7768391112766	2.063905520235376	2.0	3.0	2.0
1931.65056429454	2.0531242927391316	2.0	3.0	2.0
1930.5242894778032	2.0434746826327594	2.0	3.0	2.0
1929.3980146610666	2.035903133551427	2.0	3.0	2.0
1928.2717398443299	2.029689525337942	2.0	3.0	2.0
1927.1454650275932	2.0246281093759646	2.0	2.0	2.0
1926.0191902108566	2.0206365862189575	2.0	2.0	2.0
1924.8929153941199	2.017077135156266	2.0	2.0	2.0
1923.7666405773832	2.013990905911158	2.0	2.0	2.0
1922.6403657606465	2.0116247968232415	2.0	2.0	2.0
1921.5140909439099	2.0094644363516654	2.0	2.0	2.0
1920.3878161271732	2.0075509742196984	2.0	2.0	2.0
1919.2615413104365	2.0058638355657057	2.0	2.0	2.0
1918.1352664936999	2.004135547188445	2.0	2.0	2.0
1917.0089916769632	2.0026953068740614	2.0	2.0	2.0
1915.8827168602265	2.001172767113141	2.0	2.0	2.0
1914.7564420434899	1.9996913770754892	2.0	2.0	2.0
1913.6301672267532	1.9982511367611053	2.0	2.0	2.0
1912.5038924100165	1.9966874472769172	2.0	2.0	2.0
