Time	Mean	Median	Upper	Lower
2019.0	138.0	138.0	138.0	138.0
2015.1261464620784	134.89201199866682	135.0	137.0	132.0
2011.2522929241568	117.86334851683146	118.0	130.0	106.0
2007.3784393862352	92.02788579046772	92.0	108.0	78.0
2003.5045858483136	68.37762470836574	68.0	83.0	58.0
1999.630732310392	48.01266525941562	48.0	57.0	42.0
1995.7568787724704	42.05510498833463	42.0	48.0	37.0
1991.8830252345488	38.6628152427508	39.0	44.0	34.0
1988.0091716966272	35.835129430063326	36.0	41.0	31.0
1984.1353181587056	33.1866459282302	33.0	39.0	28.0
1980.261464620784	30.474502833018555	30.0	36.0	25.0
1976.3876110828623	28.20753249638929	28.0	34.0	24.0
1972.5137575449407	26.322741917564716	26.0	32.0	22.0
1968.6399040070191	24.22408621264304	24.0	30.0	20.0
1964.7660504690975	22.137318075769358	22.0	28.0	17.0
1960.892196931176	20.17020331074325	20.0	25.0	15.0
1957.0183433932543	18.38406843684035	18.0	24.0	14.0
1953.1444898553327	16.880235529385622	16.0	22.0	14.0
1949.2706363174111	15.731585379402288	15.0	21.0	13.0
1945.3967827794895	14.924563937340295	14.0	20.0	13.0
1941.522929241568	14.34729474502833	14.0	18.0	13.0
1937.6490757036463	13.928674591712031	14.0	17.0	13.0
1933.7752221657247	13.640817686923675	13.0	16.0	13.0
1929.901368627803	13.437840239973337	13.0	15.0	13.0
1926.0275150898815	13.295967114765027	13.0	15.0	13.0
1922.1536615519599	13.19131207643595	13.0	14.0	13.0
1918.2798080140383	13.118542384179536	13.0	14.0	13.0
1914.4059544761167	13.055549383401845	13.0	14.0	12.0
1910.532100938195	13.000777691367626	13.0	14.0	12.0
1906.6582474002735	12.937006999222309	13.0	14.0	12.0
1902.7843938623519	12.861570936562604	13.0	14.0	11.0
1898.9105403244303	12.765914898344628	13.0	13.0	11.0
1895.0366867865087	12.646150427730252	13.0	13.0	10.0
1891.162833248587	12.485501610932118	13.0	13.0	10.0
1887.2889797106654	12.28974558382402	13.0	13.0	9.0
1883.4151261727438	12.056104877235862	13.0	13.0	8.0
1879.5412726348222	11.75724919453394	12.0	13.0	8.0
1875.6674190969006	11.43039662259749	12.0	13.0	7.0
1871.793565558979	11.053994000666593	12.0	13.0	6.0
1867.9197120210574	10.646150427730252	11.0	13.0	6.0
1864.0458584831358	10.207421397622486	11.0	13.0	5.0
1860.1720049452142	9.751249861126542	10.0	13.0	5.0
1856.2981514072926	9.269970003332963	9.0	13.0	5.0
1852.424297869371	8.810687701366515	9.0	13.0	5.0
1848.5504443314494	8.33829574491723	8.0	13.0	4.0
1844.6765907935278	7.890456615931563	8.0	13.0	4.0
1840.8027372556062	7.450505499388957	7.0	13.0	4.0
1836.9288837176846	7.047216975891567	7.0	12.0	4.0
1833.055030179763	6.666592600822131	6.0	12.0	4.0
1829.1811766418414	6.31596489278969	5.0	12.0	4.0
1825.3073231039198	5.998444617264749	5.0	11.0	4.0
1821.4334695659982	5.717364737251416	5.0	11.0	4.0
1817.5596160280766	5.460726585934896	5.0	10.0	4.0
1813.685762490155	5.242306410398845	5.0	10.0	4.0
1809.8119089522334	5.051105432729697	5.0	9.0	4.0
1805.9380554143117	4.8846794800577715	4.0	9.0	4.0
1802.0642018763901	4.739695589378958	4.0	8.0	4.0
1798.1903483384685	4.610932118653483	4.0	8.0	4.0
1794.316494800547	4.507388067992445	4.0	8.0	4.0
1790.4426412626253	4.423286301522053	4.0	7.0	4.0
1786.5687877247037	4.347072547494723	4.0	7.0	4.0
1782.6949341867821	4.28041328741251	4.0	6.0	4.0
1778.8210806488605	4.228419064548383	4.0	6.0	4.0
1774.947227110939	4.186423730696589	4.0	5.0	4.0
1771.0733735730173	4.150761026552606	4.0	5.0	4.0
1767.1995200350957	4.122430841017665	4.0	5.0	4.0
1763.325666497174	4.09698922341962	4.0	5.0	4.0
1759.4518129592525	4.077880235529386	4.0	5.0	4.0
1755.577959421331	4.060437729141206	4.0	5.0	4.0
1751.7041058834093	4.049438951227641	4.0	5.0	4.0
1747.8302523454877	4.04066214865015	4.0	5.0	4.0
1743.956398807566	4.031440951005444	4.0	5.0	4.0
1740.0825452696445	4.0242195311632045	4.0	4.0	4.0
1736.2086917317229	4.017775802688591	4.0	4.0	4.0
1732.3348381938013	4.012998555716032	4.0	4.0	4.0
1728.4609846558797	4.007888012443062	4.0	4.0	4.0
1724.587131117958	4.003110765470503	4.0	4.0	4.0
1720.7132775800364	3.9991112098655703	4.0	4.0	4.0
1716.8394240421148	3.9951116542606377	4.0	4.0	4.0
1712.9655705041932	3.990001110987668	4.0	4.0	4.0
1709.0917169662716	3.98644595044995	4.0	4.0	4.0
1705.21786342835	3.9798911232085326	4.0	4.0	4.0
1701.3440098904284	3.973891789801133	4.0	4.0	4.0
1697.4701563525068	3.966114876124875	4.0	4.0	3.0
1693.5963028145852	3.9567825797133653	4.0	4.0	3.0
1689.7224492766636	3.946561493167426	4.0	4.0	3.0
1685.848595738742	3.9334518386845905	4.0	4.0	3.0
1681.9747422008204	3.9213420731029887	4.0	4.0	3.0
1678.1008886628988	3.904121764248417	4.0	4.0	3.0
1674.2270351249772	3.8849016775913787	4.0	4.0	3.0
1670.3531815870556	3.864903899566715	4.0	4.0	2.0
1666.479328049134	3.840239973336296	4.0	4.0	2.0
1662.6054745112124	3.8143539606710366	4.0	4.0	2.0
1658.7316209732908	3.788579046772581	4.0	4.0	2.0
1654.8577674353692	3.761693145206088	4.0	4.0	2.0
1650.9839138974476	3.724252860793245	4.0	4.0	2.0
