Time	Mean	Median	Upper	Lower
2019.0	1418.8556691011934	866.730246639944	5843.524987270212	289.83025189250213
2015.1380198618353	1355.013548981892	849.2830059163689	5624.746358623105	314.14912618114096
2011.2760397236707	624.8554823456615	431.1020755722127	2158.7676675838375	138.70355029731778
2007.414059585506	303.59954583503264	264.8909126333913	720.3941137659434	111.89495774150255
2003.5520794473414	201.69714713497828	177.77188208997873	484.8691450324673	64.09201690716402
1999.6900993091767	264.6863339089626	244.00635576769713	540.2688043867242	100.84554979144136
1995.828119171012	382.62373052083507	362.08956844040074	715.6006712978048	177.8958393912838
1991.9661390328474	407.3348936601633	382.427112094949	760.0949153007108	211.1694782473654
1988.1041588946828	410.5480549437325	385.2580285375095	758.6195279816001	216.0273550110692
1984.2421787565181	410.3896190016834	385.9214975291886	756.7903940041846	213.3829376774959
1980.3801986183535	408.8979990824155	385.54494951083666	745.1066461235808	211.61280937726644
1976.5182184801888	407.5764479934841	385.65155483937104	736.581734415924	207.29609847678253
1972.6562383420242	406.2611296667655	385.28702364349516	737.6491126569947	203.32165736731443
1968.7942582038595	404.8164412020732	384.50796934453126	739.5280920548087	196.70671501262615
1964.9322780656948	404.86175417329935	384.5514432295693	746.8196165178334	188.78545472742488
1961.0702979275302	411.18623844856415	388.6609519297827	770.9398712659598	187.40560446148885
1957.2083177893655	425.09186321635747	397.4262248329499	813.8187772560575	193.82907045371905
1953.3463376512009	457.00301463103347	414.892010959418	974.1531730899203	207.79824283319667
1949.4843575130362	500.6630224880589	438.31090533309253	1170.6934199430682	228.34631411226206
1945.6223773748716	543.3189695544662	462.24492658259913	1280.6886167868952	243.963701326849
1941.760397236707	579.1939048763516	484.4167911084009	1405.5790404216598	256.96288243969525
1937.8984170985423	607.8750223650903	503.0605568434402	1497.4570318501303	262.20444090214136
1934.0364369603776	626.8215256960277	518.4024644905259	1580.3962337796552	267.08883576307204
1930.174456822213	640.5005666495244	526.4075916157484	1620.3137511588616	269.2590632292668
1926.3124766840483	650.6285856091719	533.116938577522	1651.6473722119242	271.29662844664654
1922.4504965458837	655.2432367404484	536.1115098760191	1673.116117770994	271.5246027239338
1918.588516407719	658.7263975328493	537.9003765784826	1690.6681252284814	271.7659360706418
1914.7265362695543	660.8120039807654	539.2564604563737	1701.621926756772	271.80459823356847
1910.8645561313897	661.819668383641	539.5997721783491	1703.7874232882814	271.80459823356847
1907.002575993225	662.94268676071	540.4298914650082	1709.0060397835668	271.7659360706418
1903.1405958550604	663.0634568178306	540.3150828079392	1711.7051203627927	271.29662844664654
1899.2786157168957	662.6269617849865	539.8310666014839	1711.7051203627927	269.21314617358905
1895.416635578731	661.8666408285927	539.2564604563737	1711.7051203627927	266.26762611828116
1891.5546554405664	660.7694987452842	538.6000566071366	1711.7051203627927	258.9259333212767
1887.6926753024018	658.2520014716237	537.3190934198262	1709.0060397835668	251.84175091242125
1883.830695164237	654.6220351695624	535.2685827951377	1704.8783358042394	235.32239563945737
1879.9687150260725	649.9413131815628	532.7515664418623	1704.8783358042394	191.96164988440344
1876.1067348879078	643.2788976416836	528.7289355905096	1704.8783358042394	140.29323715292855
1872.2447547497432	633.6121699503047	521.6221393198734	1704.8783358042394	116.86956218348624
1868.3827746115785	620.8481199759062	512.858995424143	1701.621926756772	99.39183302543744
1864.5207944734138	606.1173149565333	500.73786433366814	1694.5128774186262	89.34907447969225
1860.6588143352492	587.7905856424267	485.73573585099365	1684.2951232839816	82.4894270300658
1856.7968341970845	568.0675708230036	469.9074872173539	1675.081082546778	75.99784005521573
1852.9348540589199	548.4331844525692	453.2805082241901	1651.6473722119242	71.29161154986247
1849.0728739207552	523.2827062378489	430.11761985599117	1628.0710506082467	69.07134797232092
1845.2108937825906	499.3538641200098	409.9165135598223	1615.6187009397586	66.14542596752139
1841.348913644426	471.7777156325403	383.8119298064624	1574.6169541798454	63.90639593702654
1837.4869335062613	445.30438004167877	356.9613236397321	1526.9394047175724	62.522349278003404
1833.6249533680966	420.50675569741435	329.9871659952473	1490.525038860269	61.24670001026622
